DATE,VALUE
2013-04-01,8170.07
2013-07-01,8231.57
2013-10-01,8330.93
2014-01-01,8360.47
2014-04-01,8524.53
2014-07-01,8624.55
2014-10-01,8786.62
2015-01-01,8856.4
2015-04-01,9036.33
2015-07-01,9171.76
2015-10-01,9372.38
2016-01-01,9495.6
2016-04-01,9663.06
2016-07-01,9740.56
2016-10-01,9845.32
2017-01-01,9853.17
2017-04-01,10003.78
2017-07-01,10102.3
2017-10-01,10273.93
2018-01-01,10295.33
2018-04-01,10446.75
2018-07-01,10538.92
2018-10-01,10755.31
2019-01-01,10770.19
2019-04-01,10913.56
2019-07-01,10976.74
2019-10-01,11083.62
2020-01-01,11572.02
2020-04-01,11642.08
2020-07-01,11458.83
2020-10-01,11344.8
2021-01-01,11312.8
2021-04-01,11301.13
2021-07-01,11354.84
2021-10-01,11719.96
2022-01-01,11953.22
2022-04-01,12442.24
2022-07-01,12755.3
2022-10-01,13090.72
2023-01-01,13154.31
2023-04-01,13240.08
2023-07-01,13283.84
2023-10-01,13380.88
2024-01-01,13381.55
2024-04-01,13464.71
2024-07-01,13500.45
2024-10-01,13193.29
2025-01-01,13117.79
